Species,SubUnit,Product Name,Product URL,Page Path
Petcare,Services & Programs,Commitment to Veterinarians,https://www.zoetisus.com/responsibility/commitment-to-veterinarians/homepage.aspx,/responsibility/commitment-to-veterinarians/homepage.aspx
Petcare,Services & Programs,PeopleFirst,https://www.zoetisus.com/services-and-programs/peoplefirst/index.aspx,/services-and-programs/peoplefirst/index.aspx
Petcare,Products for Cats,ALBON® ,https://www.zoetisus.com/products/cats/albon.aspx,/products/cats/albon.aspx
Petcare,Products for Cats,ALPHATRAK® 2 METER,https://www.zoetisus.com/products/dogs/alphatrakmeter/alphatrak-home.aspx,/products/dogs/alphatrakmeter/alphatrak-home.aspx
Petcare,Products for Cats,CESTEX® (epsiprantel),https://www.zoetisus.com/products/cats/cestex.aspx,/products/cats/cestex.aspx
Petcare,Products for Cats,CLAVAMOX® ,https://www.zoetisus.com/products/dogs/clavamox/index.aspx,/products/dogs/clavamox/index.aspx
Petcare,Products for Cats,CONVENIA®,https://www.zoetisus.com/products/dogs/convenia/index.aspx,/products/dogs/convenia/index.aspx
Petcare,Products for Cats,DEFENSOR® 1,https://www.zoetisus.com/products/dogs/defensor1.aspx,/products/dogs/defensor1.aspx
Petcare,Products for Cats,DEFENSOR® 3,https://www.zoetisus.com/products/dogs/defensor3.aspx,/products/dogs/defensor3.aspx
Petcare,Products for Cats,DEPO-MEDROL® (methylprednisolone acetate) Sterile aqueous suspension,https://www.zoetisus.com/products/cats/depo-medrol.aspx,/products/cats/depo-medrol.aspx
Petcare,Products for Cats,DERMA-CLENS® ,https://www.zoetisus.com/products/cats/derma-clens-cream.aspx,/products/cats/derma-clens-cream.aspx
Petcare,Products for Cats,DEXDOMITOR®,https://www.zoetisus.com/products/cats/dexdomitor/index.aspx,/products/cats/dexdomitor/index.aspx
Petcare,Products for Cats,DEXDOMITOR® 0.1,https://www.zoetisus.com/products/dogs/dexdomitor-01/index.aspx,/products/dogs/dexdomitor-01/index.aspx
Petcare,Products for Cats,ELIMIN-ODOR® Feline,https://www.zoetisus.com/products/cats/elimin-odor-feline.aspx,/products/cats/elimin-odor-feline.aspx
Petcare,Products for Cats,ELIMIN-ODOR® General Purpose,https://www.zoetisus.com/products/cats/elimin-odor-general-purpose.aspx,/products/cats/elimin-odor-general-purpose.aspx
Petcare,Products for Cats,ELIMIN-ODOR® Pet Accident,https://www.zoetisus.com/products/cats/elimin-odor-pet-accident.aspx,/products/cats/elimin-odor-pet-accident.aspx
Petcare,Products for Cats,ELIMIN-ODOR® Pet Stain Eliminator,https://www.zoetisus.com/products/cats/elimin-odor-pet-stain-eliminator.aspx,/products/cats/elimin-odor-pet-stain-eliminator.aspx
Petcare,Products for Cats,"ERADIMITE (pyrethrins, piperonyl, technical)",https://www.zoetisus.com/products/cats/eradimite.aspx,/products/cats/eradimite.aspx
Petcare,Products for Cats,FELOCELL® 3,https://www.zoetisus.com/products/cats/felocell-3.aspx,/products/cats/felocell-3.aspx
Petcare,Products for Cats,FELOCELL® 4,https://www.zoetisus.com/products/cats/felocell-4.aspx,/products/cats/felocell-4.aspx
Petcare,Products for Cats,FELOCELL® FIP,https://www.zoetisus.com/products/cats/felocell-fip.aspx,/products/cats/felocell-fip.aspx
Petcare,Products for Cats,FELOCELL® FVR C ,https://www.zoetisus.com/products/cats/felocell-fvr-c.aspx,/products/cats/felocell-fvr-c.aspx
Petcare,Products for Cats,FELOCELL ® FELV ,https://www.zoetisus.com/products/cats/felocell-felv.aspx,/products/cats/felocell-felv.aspx
Petcare,Products for Cats,KETASET® (ketamine hydrochloride),https://www.zoetisus.com/products/cats/ketaset.aspx,/products/cats/ketaset.aspx
Petcare,Products for Cats,LAXAIRE®,https://www.zoetisus.com/products/cats/laxaire.aspx,/products/cats/laxaire.aspx
Petcare,Products for Cats,LEUKOCELL® 2,https://www.zoetisus.com/products/cats/leukocell-2.aspx,/products/cats/leukocell-2.aspx
Petcare,Products for Cats,LINCOCIN® ,https://www.zoetisus.com/products/cats/lincocin.aspx,/products/cats/lincocin.aspx
Petcare,Products for Cats,MEDROL® (methylprednisolone),https://www.zoetisus.com/products/cats/medrol.aspx,/products/cats/medrol.aspx
Petcare,Products for Cats,NEO-PREDEF® with TETRACAINE,https://www.zoetisus.com/products/cats/neo-predef.aspx,/products/cats/neo-predef.aspx
Petcare,Products for Cats,NOLVADENT®,https://www.zoetisus.com/products/cats/nolvadent.aspx,/products/cats/nolvadent.aspx
Petcare,Products for Cats,NOLVASAN® Skin and Wound Cleanser,https://www.zoetisus.com/products/cats/nolvasan-skin-and-wound-cleanser.aspx,/products/cats/nolvasan-skin-and-wound-cleanser.aspx
Petcare,Products for Cats,NOLVASAN® OTIC,https://www.zoetisus.com/products/cats/nolvasan-otic.aspx,/products/cats/nolvasan-otic.aspx
Petcare,Products for Cats,NOLVASAN® S,https://www.zoetisus.com/products/cats/nolvasan-s.aspx,/products/cats/nolvasan-s.aspx
Petcare,Products for Cats,NOLVASAN® Solution,https://www.zoetisus.com/products/cats/nolvasan-solution.aspx,/products/cats/nolvasan-solution.aspx
Petcare,Products for Cats,NOLVASAN® Surgical Scrub,https://www.zoetisus.com/products/cats/nolvasan-surgical-scrub.aspx,/products/cats/nolvasan-surgical-scrub.aspx
Petcare,Products for Cats,OTI-CLENS®,https://www.zoetisus.com/products/cats/oti-clens.aspx,/products/cats/oti-clens.aspx
Petcare,Products for Cats,PET CAL®,https://www.zoetisus.com/products/cats/pet-cal.aspx,/products/cats/pet-cal.aspx
